original_language,original_title,popularity,release_date,runtime,title,vote_average,vote_count,price
en,Justice League: Crisis on Two Earths,6.108241,23/02/2010,75,Justice League: Crisis on Two Earths,7.1,152,6.99
en,A Ticklish Affair,0.096838,18/08/1963,88,A Ticklish Affair,10,1,9.99
en,The Immortals,0.825042,05/10/1995,98,The Immortals,7.8,5,7.99
en,Family Band: The Cowsills Story,0.063214,10/08/2011,90,Family Band: The Cowsills Story,9,1,8.99
en,TT3D: Closer to the Edge,2.73673,22/04/2011,104,TT3D: Closer to the Edge,8,44,7.99
en,One Direction: This Is Us,5.988929,28/08/2013,92,One Direction: This Is Us,8,209,7.99
en,Gravity,18.50194,27/09/2013,91,Gravity,7.3,5879,6.99
en,Ping Pong,0.112029,06/07/2012,80,Ping Pong,8,2,7.99
en,Prisoners,11.96262,18/09/2013,153,Prisoners,7.9,3183,7.99
en,Rush,10.63552,02/09/2013,123,Rush,7.7,2310,7.99
en,Almost Kings,0.167343,11/11/2010,93,Almost Kings,10,2,9.99
en,Short Term 12,12.34835,23/08/2013,96,Short Term 12,7.9,460,7.99
en,Hawking,1.505729,11/03/2013,86,Hawking,7.9,14,7.99
en,??e?p?a,0.261283,15/09/2013,57,Ruins,8,2,7.99
en,Talking Funny,1.102216,22/04/2011,50,Talking Funny,7.3,22,6.99
en,Nebraska,11.160699,21/09/2013,115,Nebraska,7.4,648,6.99
en,Shake Hands with the Devil,0.4724,24/06/1959,111,Shake Hands with the Devil,7.6,5,7.99
en,Captain Phillips,13.776068,10/10/2013,134,Captain Phillips,7.6,2495,7.99
en,Year Zero: The Silent Death of Cambodia,0.003977,30/10/1979,52,Year Zero: The Silent Death of Cambodia,7.5,1,7.99
en,Stealing a Nation,0.07933,01/01/2004,56,Stealing a Nation,10,1,9.99
en,Calling Dr. Death,0.795767,17/12/1943,63,Calling Dr. Death,7.7,6,7.99
en,The Legend of Lylah Clare,1.287517,21/08/1968,130,The Legend of Lylah Clare,7.3,4,6.99
en,12 Years a Slave,30.316249,18/10/2013,134,12 Years a Slave,7.9,3787,7.99
en,Kill Your Darlings,7.075031,04/10/2013,104,Kill Your Darlings,7.1,455,6.99
en,The Killing of America,0.004948,05/09/1981,90,The Killing of America,7.7,12,7.99
en,Toy Story of Terror!,0.512025,15/10/2013,22,Toy Story of Terror!,7.3,246,6.99
en,Dallas Buyers Club,14.785719,07/09/2013,117,Dallas Buyers Club,7.9,2973,7.99
en,Aziz Ansari: Buried Alive,2.609603,01/11/2013,79,Aziz Ansari: Buried Alive,7.4,47,6.99
en,Somm,1.223673,21/06/2013,93,Somm,7.1,27,6.99
en,Beautiful Dreamer: Brian Wilson and the Story of Smile,0.563247,05/10/2004,109,Beautiful Dreamer: Brian Wilson and the Story of Smile,7.3,3,6.99
en,Muscle Shoals,2.155926,27/09/2013,111,Muscle Shoals,7.2,26,6.99
en,Philomena,6.927182,01/11/2013,98,Philomena,7.4,588,6.99
en,The Book Thief,16.373622,08/11/2013,131,The Book Thief,7.4,1528,6.99
en,The Hunger Games: Catching Fire,25.309139,15/11/2013,146,The Hunger Games: Catching Fire,7.4,6656,6.99
en,The Hobbit: The Desolation of Smaug,20.644776,11/12/2013,161,The Hobbit: The Desolation of Smaug,7.6,4633,7.99
en,Frozen,24.248243,27/11/2013,102,Frozen,7.3,5440,6.99
en,Les Misérables: 10th Anniversary Concert at the Royal Albert Hall,0.748285,14/10/1995,147,Les Misérables: 10th Anniversary Concert at the Royal Albert Hall,8.5,9,7.99
en,The Wolf of Wall Street,16.382422,25/12/2013,180,The Wolf of Wall Street,7.9,6768,7.99
en,Cyberjack,0.152374,19/09/1995,99,Cyberjack,7.3,4,6.99
en,Her,13.829515,18/12/2013,126,Her,7.9,4215,7.99
en,The War Between Men and Women,0.796097,01/06/1972,110,The War Between Men and Women,7.7,3,7.99
en,Lone Survivor,10.855502,24/12/2013,121,Lone Survivor,7.4,1549,6.99
en,An Adventure in Space and Time,5.541556,21/11/2013,90,An Adventure in Space and Time,7.7,68,7.99
en,Saving Mr. Banks,15.130888,16/11/2013,125,Saving Mr. Banks,7.3,1256,6.99
en,Is the Man Who Is Tall Happy?,1.512586,22/11/2013,88,Is the Man Who Is Tall Happy?,7.1,32,6.99
en,Escape Fire: The Fight to Rescue American Healthcare,0.115688,05/10/2012,100,Escape Fire: The Fight to Rescue American Healthcare,8,3,7.99
en,Springsteen & I,1.5699,22/07/2013,77,Springsteen & I,7.5,11,7.99
